999;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.60;ddt0-d0;
1008;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.61;ddt0-d0;
1017;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim30-vg4.12-vc4.63;ddt0-d0;
1026;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.61;ddt0-d0;
1035;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
9;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.51;ddt0-d0;
18;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
27;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.13-vc4.53;ddt0-d0;
36;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.13-vc4.54;ddt0-d0;
45;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
54;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.53;ddt0-d0;
63;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.53;ddt0-d0;
72;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
81;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
90;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
